snippet,price change,News Sent.
"David Camerons worst mistake is ruining his best initiative We look at the tactics being used to investigate Russias election interference And a Times reporter overhears the presidents lawyers at a steakhouse The bankruptcy filing by Toys R Us shows just how much pain store operators are feeling  and highlighted that more suffering is in store The Master of None writer and actress wants to put more culturally diverse perspectives onscreen And she credits Halle Berry for inspiring her Facebook, Google and Amazon are coming under increasing pressure by regulators concerned about their growing power We look at President Trumps bellicose address to the United Nations General Assembly, and the man who crafted its message A British television news report said that the online retailers algorithms were automatically offering items that could be used to create an explosive device A new set of proposals presented by officials in Brussels seek to tax technology companies differently, but risk being seen as an effort to target American tech giants",neg,neg
"Americans, and higherincome whites in particular, vastly overestimate progress toward economic equality between blacks and whites The disgraced TV host is still churning out history books, but without his perch at Fox, can he sell them From Saturday Night Live to The Handmaids Tale, shows with a political  and antiTrump  viewpoint ruled the day at the Emmy Awards To write Nomadland, Jessica Bruder spent three years traveling and working alongside grandparents and others living in school buses and vans seeking seasonal work Jerry Seinfeld revisits his most memorable bits in a new special And Paula Patton must outpace time in the season finale of Somewhere Between The toy store chain will get  billion in financing to continue paying employees and suppliers as it deals with Chapter ",pos,neg
"Mr Colberts first time hosting the Emmys had one big podiumsized surprise The storebought box, one of the few dependable food items in a place of scarcity, is tricked out for dinners and fundraisers by many a cake lady The web is not as open as it once was, with nationstates exerting their power over the internet Facebook and other tech companies are dealing with the consequences Visit a reserve in the remote central Amazon jungle, where researchers are shedding new light on how stronger, more frequent storms are driving major changes in the forest If they hold an undocumented criminal too long, sheriffs are violating the constitution If they dont, theyre crossing the White House Heres what you need to know to start your day Facebook, Google and other technology titans are encountering more resistance to their empirebuilding, both abroad and at home Nothing better illustrates the complex web of Brazils decline than operation Car Wash, the wideranging investigation into corruption Opening a rain forest reserve to commercial mining is a dangerous setback in the effort to protect the worlds largest forest The th Primetime Emmy Awards were dominated by a number of captivating women and one powerful man",neg,neg
"As growth slows in wealthy countries, Western food companies are aggressively expanding in developing nations, contributing to obesity and health problems Why Amazons new headquarters decision should be an act of patriotism A new series explores life under the Islamic State through the eyes of four young recruits And the British crime drama The Commander arrives on Acorn TV Big Little Lies and Veep also had big nights Stephen Colbert was the host and President Trump was the through line The likes of Google and Amazon could see their tax bills rise, and the Fed appears to be poised to start selling off securities Hubert Joly, Best Buys chief executive, has reshaped nearly every aspect of the business He explains the playbook behind the companys success",neg,neg
"Angelina Jolies war drama arrives on Netflix And HBOs Room  tells disturbing tales within the confines of four walls We discuss the presidents latest surprising alliance with Democrats, and call Senator Bernie Sanders to get his take on this moment Like individuals saving for retirement, nonprofits are often better off when their investments are straightforward and low cost Damien Chazelles musical on the wonders and struggles of making it in Hollywood comes to HBO And life goes on in Season  of One Mississippi",neg,neg
"If New York has turned inward and become obsessed with its screens, is Bill de Blasio, on his way to a second term, the mayor the city deserves This weeks Canada Letter, which is for and about Canada and Canadians, looks at the underwater hunt for traces of a Cold War fighter A week after Amazon announced plans for a second headquarters somewhere in North America, Walmart said on Friday that it is building a new home office in Bentonville If youre in the mood for a tense wartime drama, a cute romantic comedy or a creepy horror movie, heres what to watch",neg,neg
"The work of Americas premier documentarian offers a panoramic view of American life and history Heres whats available online, from onehour oneoffs, to hour epics As dollar stores spread across New York City, they offer an alternative to the restaurant and garment factory jobs that once sustained newcomers Despite their new jobs and hairdos, the feminist slackers of Broad City have yet to grow up And the latenight comic Samantha Bee returns for a third run The role of the Russian media in the  election, and why the Kremlins information war is harder to stop than shadowy hackers On film and on TV, the comedians have staked out opposite positions in a very real debate about sexual misconduct rumors Nick Wingfield, a New York Times technology reporter who writes about Amazon and Microsoft, discusses the tech hes using After years of studying eels, a researcher managed to experience something unexpected when he set out to study their ability to create an electric circuit How a small nation celebrated as a story of democracy became condemned by the UN as a textbook example of ethnic cleansing A company that wants to make its internetconnected vending machines ubiquitous did damage control after implying that it wanted to displace beloved corner stores Millennials want a different kind of suburban development that is smart, efficient and sustainable Heres our pick of the titles joining streaming services this weekend Stock prices are high but an expert on bubbles says the psychological underpinnings of this market appear to be different from those of  or ",pos,neg
"The number of severe rainstorms has jumped by one third in recent decades Warmer air is a big reason He loves Whitney Houston, the Chicago Bulls and intercontinental ballistic missiles a profile of the yearold dictator of North Korea Here are a few questions, culled from recent articles from our Travel Tips collection, to test your travel savvy A detailed review by competition regulators would delay the  billion acquisition by st Century Fox and cast further uncertainty over the proposed deal",pos,neg
Heres what you need to know to start your day Heres what you need to know at the end of the day The decision is the latest response by a big company to shareholders who have demanded changes to corporate strategies Heres what you need to know to start your day,pos,neg
"The tale of three bold AfricanAmerican women who made NASA history arrives on HBO And Season  of Portlandia comes to Netflix Corey Payne did not see that the glasses he purchased, and gave to his fiance, were recalled by Amazon because he purchased them through his aunts account Lets skip the nationwide bidding war and cut right to the winner As the first reports of eclipse eye damage emerge, a reporter attempts to get to the bottom of the shady shades fiasco A preview of the film We were expecting Rosie from The Jetsons or maybe CPO Why did we end up with Alexa Investigators are looking into reports that around  tribe members died when they were set upon by gold miners Welcome to the latest edition of the Smarter Living newsletter Amazons warehouses, which now employ more than , people across the United States, are being outfitted with the latest in robots and tech, but not at the expense of human jobs Amazon is on the forefront of automation, finding new ways of getting robots to do the work once handled by human employees At the University of California, Berkeley, robots are teaching themselves to grab objects theyve never seen before Readers discuss how corporations have courted teachers as their ambassadors to bring their products into the classroom Several dozen designers have pooled their resources to market their wares in a boutique in SoHo Heres what you need to know to start your day In the Season  finale of Preacher, the deadly trio plans to hit the road again And Claudia Karvan tackles cases big and small in Newtons Law Heres what you need to know to start your day We speak with two Miami residents, one who refused to evacuate and one who drove north, only to end up in Irmas path The comedian tackles taboos in his surprise new film and addresses internet chatter",pos,pos
"Heres what you need to know to start your day And do you like wordplay Or humor Or Bambi What kind of monster doesnt like those things The fall movie schedule is filled with films, but few seem to be relying on their men to lead The regret is one of a catalog of mistakes  large and small  that Mrs Clinton lists in the election postmortem What Happened Smithsonians streaming platform offers a glimpse of ancient European castles, now home to wildlife And the comedian Gary Owen gets a new standup special Something that started in a wave of hope migrated to closedminded, mercenary quarters Heres what you need to know to start your day We talk with Glenn Thrush and Senator Chuck Schumer about the presidents surprising new alliance with the other party Washington may not get the  percent corporate tax that President Trump wants But an end to annual dramas over the debt limit may be near The company would help itself, and the country, by putting its new headquarters outside of the Northeast, the West Coast or Chicago Once again, the tech industry tried to get the president to change his mind Once again, they failed Plus a look at the weeks other tech news The Store, at No  after three weeks on the hardcover fiction list, features a married couple at war with a dominant online retailer Four new series based on Marvel Comics franchises will debut, as Netflix rolls out a David Fincher series, a new Margaret Atwood adaptation and the return of Stranger Things The breach at Equifax comes on the heels of numerous cyberattacks It feels like theres nothing you can really do to protect yourself, one woman said",pos,neg
"Heres what you need to know to start your day The senator spent  years trying to pass immigration legislation in Congress Could it finally pass under President Trump Thursday School is back in session, Henry James the painter, and losing a climatologist The online retail giant said it is seeking a location in North America for a new complex that would cost as much as  billion to build and operate",neg,neg
A documentary takes LCD Soundsystem fans back to that groups bittersweet farewell concert And the rapper and chef Action Bronson reminisces about Britain Hollywood says the website and its increasingly ubiquitous Tomatometer scores are hurting ticket sales The sites editors say they are simply helping moviegoers,neg,neg
"The Court of Justice of the European Union is sending the case back to a lower court, a decision that bodes well for technology companies facing competition inquiries We discuss the origins and significance of the Deferred Action for Childhood Arrivals program with Cecilia Muoz, former President Barack Obamas chief domestic policy adviser Summer is unofficially over, but thats good news in TV land, as a slew of promising new shows and beloved favorites come back this month A passage about breasts in Growing Up for Boys leads to some awkward conversations for a British publisher The toy retailer must find a way to pay back  million in debt over the next few months Heres what you need to know at the end of the day",pos,neg
"The plan, which officials said could still be changed, would give Congress time to come up with a legislative solution Readers offer their ideas, from making applications less onerous to eliminating the SAT Thoughts from a Times judge on our most successful summer ever, along with winning essays by Claire Choi and Nishant Mishra Menacing clowns descend after the  election in American Horror Story Cult And the romance drama Like Crazy arrives on Netflix With President Trump and Congress turning to tax policy, its worth revisiting a story about wealth from another era It took them six years to save up for their home in Houston, now swollen with floodwaters How one family got through the storm  and what happens now A new board game got a boost from a sudden surge of interest in fascism after the  election A group of  Democratic attorneys general have filed suit in New York, claiming that Mr Trump had improperly upended the policy known as Deferred Action for Childhood Arrivals As some major designers decide not to show in New York, aesthetics face off against Instagram Andrea Savage checks her biological clock in the season finale of her autobiographical comedy And a documentary series on funeral directors comes to Britbox",pos,neg
"Narcos returns on Netflix without its main character And a new documentary on Diana, Princess of Wales, focuses on the week after her death Business leaders posted an open letter to President Trump asking him not to end a popular immigration policy, but it isnt clear whether hell listen Whether jumping from Android to iOS or vice versa, Apple and Google have tried to ease the process for their newcomers Two tech reporters analyze the weeks big tech news, including Ubers surprising new CEO and how Amazon might change Whole Foods Theyre back All six of the Inspector Clouseau films starring Peter Sellers on Bluray, and a s TV series about a New York City policewoman on DVD New movies and TV shows are added to streaming platforms each month Here are the titles we think are most interesting in November Brandon Stantons popular photography project comes to Facebooks new streaming platform, and a family drama about a boy and a monstrous tree arrives on HBO Three rules for ensuring that AI systems dont run roughshod over humans As teachers launch personal brands and cast themselves as influencers, startups and tech giants alike are racing to cultivate them to spread their wares Jamie Garfinkel and Jonathan Levy met at a mutual friends birthday party in Central Park They married in Boulder, Colo Power and Twin Peaks offer plenty of drama for your Labor Day weekend And the sensual Dirty Dancing arrives on Amazon If unions are going to return to their old strength, they need rules tailored to modern workplaces",neg,pos
"In Bookends, Thomas Mallon and Liesl Schillinger discuss what the best and worst criticism does Heres what you need to know to start your day We hear from people in the city about the aftermath of Hurricane Harvey The former Goldman Sachs executives are leading the plan to overhaul taxes But their ambitions appear to be shrinking, and lawmakers are worried Heres what you need to know at the end of the day Tuesday Civic engagement in the city, Michael Jacksons birthday, and help for Hurricane Harvey The automaker is showcasing its autonomousvehicle technology with a trial of Dominos deliveries in Ann Arbor, Mich If United Technologies strikes a deal for the maker of aerospace parts, it would be the biggest defense acquisition on record The ruling comes amid a fight between conservationists and President Michel Temer over environmental protections and indigenous rights Eddie Huangs travel series takes him to the emirate of Dubai, and a political drama recounts one British familys rallying cry against the Iraq war In an unusual partnership, Amazon and Microsoft are working together to extend the abilities of their voicecontrolled digital assistants His presidency has changed the rules of influence in the nations capital  and spawned a new breed of lobbyist on K Street After the New America Foundation praised a large fine levied on Google, the man behind the statement was fired Heres what you need to know to start your day The story of two Americans, Abraham Davis and Hisham Yasin  a story of vandalism and forgiveness With the major devastation in the area, it seems worth reminding companies about how generous local taxpayers have been in recent years Reports about the tech giants bullying of the New America Foundation raise concerns about how it shapes policy debates First order of business face reality in a way the former chief executive, Travis Kalanick, wouldnt Near Virunga National Park in the Democratic Republic of Congo, hydroelectric power plants provide electricity that could guard against deforestation and revitalize the wartorn country New movies and TV shows are added to streaming platforms each month Here are the titles we think are most interesting in September Catch up on BoJack Horseman before Season  begins And explore the Chernobyl explosion site in a new season of Mysteries of the Abandoned The uniquely American success story of a city built on a swampy bayou, and how Harveys destruction recast that narrative Kanopy, a moviestreaming service that is free for New York Public Library members, is a garden of cinematic delights Heres how to use it From Modern Times to Office Space, here are a few movies about work to sample this weekend",neg,pos
"Mr Khosrowshahi has many tasks ahead of him, including repairing Ubers internal culture and preparing the company for a selfdriving future Kristen Bell accidentally finds herself in heaven in The Good Place And Heston Blumenthals jawdropping meals come to the Cooking Channel The rise, fall and presidential redemption of the wildly divisive sheriff from Arizona A nonstop journey supplies a closeup view of a family and the world they explore If the judgment of investors is any guide, Ross Stores, Home Depot and AutoZone may have the wherewithal to withstand the ecommerce titan, which just swallowed Whole Foods Game of Thrones notwithstanding, this summer was a bit slow Not so in the next couple of months, when loads of our favorites come roaring back Leisure travelers are naturally more selective and cost conscious that their businessclass counterparts Companies like Rocketrip, TripActions and Upside hope to change that Under its cofounder Travis Kalanick, Uber set out to revolutionize modern transportation Its new CEO may have a smaller, less risky vision Amazon promised lower prices at Whole Foods starting Monday We went shopping to see if prices really got cheaper Nearly  years after it changed the way we make restaurant reservations, the company and the new sector it created are still struggling Heres what you need to know to start your day Gal Gadot charges onto streaming platforms in Patty Jenkinss superhero blockbuster And you can spice up your week with a global array of erotic thrillers",neg,pos
"There are unresolved issues between Britain and the European Union, and tension between North American nations lingers as trade talks resume The season finale of Game of Thrones presents a longawaited meeting And Florence Foster Jenkins arrives on Amazon and Hulu Heres what you need to know about the weeks top stories Uber picked Dara Khosrowshahi as its chief executive, filling a vacancy created when the cofounder Travis Kalanick stepped down under pressure in June",neg,neg
"Two New York Times reporters discuss the weeks biggest events in Silicon Valley and the broader technology world Establishments are looking to a host of new software systems that scoop up fine details from all over on customers, servers and sales If youre in the mood for a generational comedy, a tense wartime drama or a strange horror movie, heres what to watch Heres what you need to know at the end of the day A new documentary offers an intimate take on Whitney Houstons career And Dont Blink turns the lens on the photographer Robert Frank While refugee camps swell with families escaping Islamic fundamentalists and civil war, a  act conveys a favored status on Ukrainians and other applicants from former Soviet areas",neg,neg
"A look at one of cinemas most beautiful and haunting movies about the American West Amazon said that starting Monday, Whole Foods will offer lower prices on a selection of bestselling staples across its stores, with much more to come The Oropouche virus, causing symptoms similar to dengue, appears to be slowly moving out of the Amazon jungle and closer to South American cities US stock indexes ticked lower on Thursday, but only after a circuitous ride that saw them flip multiple times between small gains and losses Ms Bates trades Ryan Murphys American Horror Story for Chuck Lorres new pot comedy critics arent having it And The Tick gets its third doover Onestop shops to print and frame your digital travel photos without the hassle, and at prices that wont bust your budget The public feud between the president and the Arizona senator reveals a great deal about mounting tensions in Washington The sentencing of Lee Jaeyong to five years in prison for bribery and embezzlement may finally mean a true crackdown on South Koreas conglomerates",pos,neg
"Ubers latest financial report shows that, despite turmoil atop the ridehailing company, its business is still growing With the disruption of cable and broadcast distribution, the company is betting that a directtoconsumer model will be a new path to revenue growth With the disruption of cable and broadcast distribution, the company is betting that a directtoconsumer model will be a new path to revenue growth The discovery, in a study of huntergatherers in Africa, eventually may help scientists learn how modern diets have affected health The discovery, in a study of huntergatherers in Africa, eventually may help scientists learn how modern diets have affected health A look at one of cinemas most beautiful and haunting movies about the American West",neg,neg
"The president says things are going to be different in Afghanistan But the new strategy looks a lot like the strategy of the last  years Heres what you need to know to start your day Heres what you need to know to start your day Wednesday Checking in with Antonio R Villaraigosa, Apples retreat on driverless cars, and restoring Lake Tahoe Wednesday Checking in with Antonio R Villaraigosa, Apples retreat on driverless cars, and restoring Lake Tahoe The FTC said that the acquisition would not harm competition In addition, Whole Foods shareholders voted to approve the deal The FTC said that the acquisition would not harm competition In addition, Whole Foods shareholders voted to approve the deal The companies are working together to keep pace in the race for online shoppers They hope a transition to voice technology will help Amazon said that starting Monday, Whole Foods will offer lower prices on a selection of bestselling staples across its stores, with much more to come A bright blue but not very bright superhero pops up again, this time on Amazon Prime, where he stars in his third television series in  years A bright blue but not very bright superhero pops up again, this time on Amazon Prime, where he stars in his third television series in  years Justice Bernd Zabel of Ontario faced a disciplinary panel because he arrived in his Hamilton courtroom wearing a red Make America Great Again ball cap Justice Bernd Zabel of Ontario faced a disciplinary panel because he arrived in his Hamilton courtroom wearing a red Make America Great Again ball cap Why has North Korea suddenly shown success in recent missile tests We discuss a surprising discovery Why has North Korea suddenly shown success in recent missile tests We discuss a surprising discovery Ubers latest financial report shows that, despite turmoil atop the ridehailing company, its business is still growing",neg,neg
"In freewheeling remarks, President Trump abandoned a theme of national unity to focus on the news media that he said are trying to take away our history and our heritage Watching divas, impresarios, maestros and virtuosos navigate musics grandest summer festival shows how the classical landscape has changed Watching divas, impresarios, maestros and virtuosos navigate musics grandest summer festival shows how the classical landscape has changed Six ways to customize an apartment without losing your deposit Kelly Turek and Chris Dutton, selfdescribed science fiction nerds, spent the first few minutes of a bright future together in total darkness Kelly Turek and Chris Dutton, selfdescribed science fiction nerds, spent the first few minutes of a bright future together in total darkness The companies are working together to keep pace in the race for online shoppers They hope a transition to voice technology will help The bond between women and their dogs is explored in Dog Lady and Megan Leavey For something tougher, stream Alejandro Gonzlez Irritus Amores Perros The bond between women and their dogs is explored in Dog Lady and Megan Leavey For something tougher, stream Alejandro Gonzlez Irritus Amores Perros One of the citys prime shopping districts is a victim of its own success, as retailers cant afford the rents and landlords cant afford to lower them One of the citys prime shopping districts is a victim of its own success, as retailers cant afford the rents and landlords cant afford to lower them The president says things are going to be different in Afghanistan But the new strategy looks a lot like the strategy of the last  years",neg,pos
"Will Mr Bannon use the rightwing megaphone to help or hurt the president who dismissed him as chief strategist Heres how to ensure the eyeglasses you obtained will offer adequate protection before you look at the solar eclipse Heres how to ensure the eyeglasses you obtained will offer adequate protection before you look at the solar eclipse An experimental Music Man gets into trouble with a capital T, while a straightforward Company gleams and a complicated Legendary Romance fades Six ways to customize an apartment without losing your deposit A dumped Israeli bride decides to go through with the wedding in the belief that a groom will show up And a Senegalese domestic worker is thrown into despair A dumped Israeli bride decides to go through with the wedding in the belief that a groom will show up And a Senegalese domestic worker is thrown into despair Derek Black was considered a future leader of the white nationalist movement  then he left He talks with us about the movement, and its role in America Derek Black was considered a future leader of the white nationalist movement  then he left He talks with us about the movement, and its role in America Thank you to the  teenagers who participated this week, and congratulations to John Fernandez Philippides, our winner, as well as to our many runnersup and honorable mentions Thank you to the  teenagers who participated this week, and congratulations to John Fernandez Philippides, our winner, as well as to our many runnersup and honorable mentions In freewheeling remarks, President Trump abandoned a theme of national unity to focus on the news media that he said are trying to take away our history and our heritage",neg,neg
"As the worlds forests are carved up by roads and farms, the animals in them are vanishing A simple fix may help Shareholders are expected to approve a  billion bid At a conference in Wyoming, neither Janet Yellen, the Fed chairwoman, nor Mario Draghi, president of the European Central Bank, is expected to address policy Shareholders are expected to approve a  billion bid At a conference in Wyoming, neither Janet Yellen, the Fed chairwoman, nor Mario Draghi, president of the European Central Bank, is expected to address policy The arrival of Apple, Facebook and Google means that the hypercompetitive world of scripted TV is going to become even more ferocious The arrival of Apple, Facebook and Google means that the hypercompetitive world of scripted TV is going to become even more ferocious Heres what you need to know to start your day Heres what you need to know to start your day Will Mr Bannon use the rightwing megaphone to help or hurt the president who dismissed him as chief strategist",neg,neg
"Two Times reporters discuss the latest events of the technology world, focusing this week on Apple, Uber and how tech companies took action against neoNazis In an age of alternative facts, fan fiction about celebrities living and dead has become more popular Corrections appearing in print on Sunday, August ,  Matt LeBlanc returns after two years to play a fictionalized version of himself And Masterpiece is back with more mysteries to be solved by Endeavour Morse Matt LeBlanc returns after two years to play a fictionalized version of himself And Masterpiece is back with more mysteries to be solved by Endeavour Morse This group of films demonstrates the breadth of Lewiss talent as an actor, comedian and director This group of films demonstrates the breadth of Lewiss talent as an actor, comedian and director Traffic and a run on Moon Pies were anticipated in some places as Americans prepared for Mondays eclipse, the first to move coast to coast in nearly a century Traffic and a run on Moon Pies were anticipated in some places as Americans prepared for Mondays eclipse, the first to move coast to coast in nearly a century Corrections appearing in print on Sunday, August ,  An experimental Music Man gets into trouble with a capital T, while a straightforward Company gleams and a complicated Legendary Romance fades As the worlds forests are carved up by roads and farms, the animals in them are vanishing A simple fix may help",pos,neg
"Vast physical distances are becoming less limiting, bringing conveniences but perhaps eroding the states special identity The venture capital firm Benchmark spent years as a lowprofile backer of startups Now, its trying to challenge Uber The venture capital firm Benchmark spent years as a lowprofile backer of startups Now, its trying to challenge Uber How white supremacists and neoNazis used their favorite social networks to craft and propagate their messages How white supremacists and neoNazis used their favorite social networks to craft and propagate their messages Three writers discuss what its like to work in the era of Peak TV Three writers discuss what its like to work in the era of Peak TV After a week in which the president bolstered white nationalists, why did he end it by getting rid of the crusader in the White House for the socalled altright In an age of alternative facts, fan fiction about celebrities living and dead has become more popular Two Times reporters discuss the latest events of the technology world, focusing this week on Apple, Uber and how tech companies took action against neoNazis",pos,neg
"It makes the internet real, if only for a little while How the chief executives of the nations largest companies moved to cut ties with the president who rose to fame as a businessman How the chief executives of the nations largest companies moved to cut ties with the president who rose to fame as a businessman Chinas Alibaba and Tencent have rocketed this year to become global investor darlings, inching up on Facebook and Amazon, as their sway in China grows Chinas Alibaba and Tencent have rocketed this year to become global investor darlings, inching up on Facebook and Amazon, as their sway in China grows This summer has produced dramatic headlines around the globe Here are dozens of questions to test what you remember and help you learn more After a week in which the president bolstered white nationalists, why did he end it by getting rid of the crusader in the White House for the socalled altright Netflix brings some familiar superheroes together for a singular purpose in its latest Marvel series And two news programs investigate white supremacists in the United States Netflix brings some familiar superheroes together for a singular purpose in its latest Marvel series And two news programs investigate white supremacists in the United States Vast physical distances are becoming less limiting, bringing conveniences but perhaps eroding the states special identity",neg,neg
"Dwayne Johnson leads his team of bodacious lifeguards onto streaming platforms And Marlon Wayans mines his own life for inspiration as a different kind of TV dad President Trump defended his initial remarks about the violence in Charlottesville, Va, asserting that activists protesting racism were as much to blame as neoNazis President Trump defended his initial remarks about the violence in Charlottesville, Va, asserting that activists protesting racism were as much to blame as neoNazis Logan Lucky is Steven Soderberghs first feature film in over four years  but before that, he was one of cinemas most versatile filmmakers This summer has produced dramatic headlines around the globe Here are dozens of questions to test what you remember and help you learn more Music services face difficulties rooting out socalled hatecore music Music services face difficulties rooting out socalled hatecore music As Netflix and Amazon take different approaches to theatrical releases, sites like Crunchyroll and Shudder are giving fans the gift of screenings As Netflix and Amazon take different approaches to theatrical releases, sites like Crunchyroll and Shudder are giving fans the gift of screenings Wall Street took broad losses, led by weak quarterly reports from Cisco Systems and Walmart Stores Wall Street took broad losses, led by weak quarterly reports from Cisco Systems and Walmart Stores Corporate leaders often avoid taking political stands, especially on the president Equivocation from the White House on rightwing extremism has forced a response Corporate leaders often avoid taking political stands, especially on the president Equivocation from the White House on rightwing extremism has forced a response Season  of Project Runway breaks the mold by using models in a range of sizes Warren Beatty brings his spoof of the life of Howard Hughes to HBO Season  of Project Runway breaks the mold by using models in a range of sizes Warren Beatty brings his spoof of the life of Howard Hughes to HBO It makes the internet real, if only for a little while",pos,neg
"A cadre of homegrown artists, designers and entrepreneurs are giving the South Bronx an image transplant In nearly tripling its debt to buy Whole Foods, the ecommerce behemoth is starting to look like a traditional retailer In nearly tripling its debt to buy Whole Foods, the ecommerce behemoth is starting to look like a traditional retailer President Trump wrongly suggested, again, that Amazon does not pay taxes The company paid  million last year and collects sales taxes in all states that levy them President Trump wrongly suggested, again, that Amazon does not pay taxes The company paid  million last year and collects sales taxes in all states that levy them Dwayne Johnson leads his team of bodacious lifeguards onto streaming platforms And Marlon Wayans mines his own life for inspiration as a different kind of TV dad",neg,neg
"The ridesharing giant agreed to strong privacy scrutiny after a federal investigation into its data protections A strong rebuke of the president by the chief executive of Walmart came as six other business leaders stepped down from a presidential advisory council A strong rebuke of the president by the chief executive of Walmart came as six other business leaders stepped down from a presidential advisory council Thirty immigrants were sworn in atop One World Trade Center, in a ceremony that featured a speech by the former US attorney Preet Bharara Thirty immigrants were sworn in atop One World Trade Center, in a ceremony that featured a speech by the former US attorney Preet Bharara Logan Lucky is Steven Soderberghs first feature film in over four years  but before that, he was one of cinemas most versatile filmmakers A cadre of homegrown artists, designers and entrepreneurs are giving the South Bronx an image transplant",neg,neg
"The fired White House communications director showed unbending loyalty to the president, whose response to the violence in Charlottesville, Va, was criticized by latenight hosts The fired White House communications director showed unbending loyalty to the president, whose response to the violence in Charlottesville, Va, was criticized by latenight hosts The chain of events from a  question about the removal of a Confederate monument to deadly violence in Virginia Plus, President Trumps rebuke of racism The chain of events from a  question about the removal of a Confederate monument to deadly violence in Virginia Plus, President Trumps rebuke of racism Are you in the mood for a juicy drama or something silly and raunchy If so, Margaret Lyons has some recommendations for you Are you in the mood for a juicy drama or something silly and raunchy If so, Margaret Lyons has some recommendations for you",neg,neg
"For the poor to find a way forward, they need confidence in their own abilities For the poor to find a way forward, they need confidence in their own abilities We argue over violent speech, violent deeds, structural violence, symbolic violence Are we spoiling for a fight, or trying to prevent one In the evolution of toy crazes since Beanie Babies, an object lesson in how technology has thrown the consumer economy into chaos We argue over violent speech, violent deeds, structural violence, symbolic violence Are we spoiling for a fight, or trying to prevent one In the evolution of toy crazes since Beanie Babies, an object lesson in how technology has thrown the consumer economy into chaos",neg,neg
"JK Rowlings Harry Potter offshoot brings its inky enchantment to HBO And some good dogs take on daunting tasks for love Weve rushed headlong into a hyperfragmented mess, with a jumble of ondemand services that, added up, cost more and often offer less than the old cable bundle American affiliates of solar equipment manufacturers try to counteract low import prices Negotiations between the United States, Canada and Mexico are likely to be tense Weve rushed headlong into a hyperfragmented mess, with a jumble of ondemand services that, added up, cost more and often offer less than the old cable bundle Elmore Leonards novel is adapted for television, with only the faintest hints of the original story And the Smithsonian Channel remembers Princess Diana Elmore Leonards novel is adapted for television, with only the faintest hints of the original story And the Smithsonian Channel remembers Princess Diana American affiliates of solar equipment manufacturers try to counteract low import prices Negotiations between the United States, Canada and Mexico are likely to be tense The ridehailing service is considering a sale to let existing investors in the stillprivate company cash in their stakes A white nationalist rally in Virginia to protest the removal a Confederate monument spun out of control President Trump condemned violence on many sides Princess Diana talks about life under the microscope in a series of rarely heard interviews from  And Scotland Yard investigates the  poisoning death of Alexander V Litvinenko Princess Diana talks about life under the microscope in a series of rarely heard interviews from  And Scotland Yard investigates the  poisoning death of Alexander V Litvinenko A white nationalist rally in Virginia to protest the removal a Confederate monument spun out of control President Trump condemned violence on many sides The ridehailing service is considering a sale to let existing investors in the stillprivate company cash in their stakes The ridesharing giant agreed to strong privacy scrutiny after a federal investigation into its data protections A lawsuit claims that the cable network has been holding back on giving top producers money that traditionally would have been theirs A lawsuit claims that the cable network has been holding back on giving top producers money that traditionally would have been theirs Ana Lily Amirpour puts a Middle Eastern spin, with a touch of Italian westerns, on the Dracula tale And Leah Remini returns with more tales of disillusioned Scientologists Ana Lily Amirpour puts a Middle Eastern spin, with a touch of Italian westerns, on the Dracula tale And Leah Remini returns with more tales of disillusioned Scientologists",pos,neg
"How a financial wizard took over a giant of American retailing, and presided over its epic decline How a financial wizard took over a giant of American retailing, and presided over its epic decline If youre in the mood for a culinary comedy, a quiet family drama or a moody gangster movie, heres what to watch If youre in the mood for a culinary comedy, a quiet family drama or a moody gangster movie, heres what to watch After underwhelming earning reports by brickandmortar retailers like Macys and JC Penney, investors sent shares of traditional department stores tumbling After underwhelming earning reports by brickandmortar retailers like Macys and JC Penney, investors sent shares of traditional department stores tumbling JK Rowlings Harry Potter offshoot brings its inky enchantment to HBO And some good dogs take on daunting tasks for love The Dow and the SP  have diverged since November, when the Dow began to surge ahead Blame the gap on Boeing, Apple and Charles Dow The Dow and the SP  have diverged since November, when the Dow began to surge ahead Blame the gap on Boeing, Apple and Charles Dow In truth, interpersonal skills like collaboration, communication and empathy are vital to career success in technology In truth, interpersonal skills like collaboration, communication and empathy are vital to career success in technology America has held a largely romantic view of the tech industry that is at odds with reality America has held a largely romantic view of the tech industry that is at odds with reality",neg,neg
